device.id,highestPrice,purchaseCount,first_purchase_time,last_purchase_time,observation_period_end
048C98EBB75B55447428F73130843D61B8DB4256,488,3,1405310656615,1405310656615,1412120576524
048E5F46399D36380703E0B38E869B075D0D9384,400,1,1405438262878,1405438262878,1412120576524
048EE092405EE8864FD9572AADAD4D64F1C160E3,680,6,1405384645923,1405384666837,1412120576524
04B016EA89364B4FF7262A21B0896DA708E14596,5000,27,1405377909577,1405992536815,1412120576524
04B2BED243B7BBAE15C75157AA42F0C5AA52E8D6,5000,23,1405133817506,1407696072435,1412120576524
04C7D82E0953A78670573E5BCC9B0118AFDFAED3,5000,49,1405483432028,1406090136264,1412120576524
04D370C548F094ECBD3E7BEF151C3C17C2CCCFBF,20000,26,1405516825928,1405563764932,1412120576524
04D52564D7C670CD9EDB759A83A645515D0F8E93,2000,20,1405483006289,1405486633884,1412120576524
04DC079167955A362FA3421449EE5F1D27760283,2000,20,1405448754310,1405449271697,1412120576524
04E38997432548C42622C411C620E8B902A3F559,400,2,1405877481722,1405877570062,1412120576524
04ED32D65B77EAD03BBF5034D98A2E68940FB1C7,20000,60,1404962458657,1405398528139,1412120576524
04FBA3D5765401B78E32F40DF408399A6EE1098B,2000,42,1405313107208,1411092703137,1412120576524
050316FE38AFBFFA077AC5EBD7DB7A78DDEC6581,15000,126,1405044405497,1407299367412,1412120576524
050882D19D68D80DF8F46C7A02ECBD0F2274D2EA,5000,6,1405761128158,1405770409242,1412120576524
050ABC6A7360E9A6EC52F14086A411E024D17C74,15000,37,1404882876714,1405035622877,1412120576524
050F573ED6014AA64D75468D4748796A4F40CFC5,440,2,1406444868631,1406444868631,1412120576524
0513261C37EB5CB10EB928F607EBD3B5003DD6E6,760,35,1405425306257,1405693074365,1412120576524
051AB37F67D900DC61AEE6F0723952A5FAF5CF40,440,9,1405584935648,1405585060207,1412120576524
052269B75F28E77C6651DFFA0444D6267D6CB475,5000,41,1404867220368,1407075511377,1412120576524
0522A39BCBCFF726047A91D70071E3F0496703EA,5000,42,1405463870623,1405699745728,1412120576524
05286F2BC45B92846BE63F3A94F618E18D1A925E,400,6,1406235096140,1406235156767,1412120576524
052F9CFD1459AE5E569A7F1CAE629C6ED3D12A30,400,6,1406444035097,1406444190025,1412120576524
0532E922EEB78577374C8634A12F7FF4A239205B,400,1,1405045011285,1405045011285,1412120576524
0535C9B7BD40D4B21FC25181977F86C1A6784883,488,7,1405491665083,1405586107814,1412120576524
053690C597DACB47B6BA6A765D9366D75118E0F8,70000,104,1404916251391,1411508351808,1412120576524
053A27DE77A1DCC74F168E7FC3D406F11A7A48B3,400,6,1404876966617,1404876977350,1412120576524
053B65799869CB7F03AACE65E497A1097F24DCE5,400,1,1405387585317,1405387585317,1412120576524
053C1CDF7C3A4A12CE3F9B5E51CFFF62ACB88478,680,13,1405176165367,1405176547019,1412120576524
054AC4F89A9596C68772AFA722F2D25BA4EA3C14,760,29,1405665513178,1409631505954,1412120576524
054C8592E7BDB00B911F23023C649AEB9E207102,2000,18,1406321209402,1406392024456,1412120576524
0555C3695248D5B8027DC90FD18A151922C58D37,5000,27,1405489460793,1405803138297,1412120576524
055CB65157ED97281FD0FDCC519FD6E4990B5E40,5000,20,1404962261262,1405999314522,1412120576524
0560649FA3490C3BFBF1CF4322CB53D7D54FFC72,608,20,1405139418298,1405149111350,1412120576524
0570A37650B8C460A6798128772A936B1176A9DF,440,7,1405042877979,1405043239958,1412120576524
0575FD1FC85EEAA9853181033D4C125497A028E3,400,2,1404885694108,1404926090779,1412120576524
0577AD53BE96BA4AC4305F059C15FFE297885360,8000,34,1404667100369,1404667999801,1412120576524
057B534F28C2B029EFD4BFAA648521959223FE1B,440,4,1404865850921,1405040370659,1412120576524
0580700E932DC69A38AFB69ABD528141B8B86C1B,760,11,1405154543675,1405334586445,1412120576524
058F166458EEF256FD62EDDD3B33CAB3BCC53112,488,5,1405733600789,1405733666949,1412120576524
059336AB836D17002CBA54B0104B25D368644126,400,1,1405523630958,1405523630958,1412120576524
05ABB2CC4EDAC306B4D5E3C4C10AA03ED0FC2C09,400,1,1405542923339,1405542923339,1412120576524
05AF1CF8F2DA3EE5B1DB31DB7DE5B1510FBE0062,5000,2,1405040061979,1405041153019,1412120576524
05B3F037B70E2161C59E779988C99D0AEEBB0A86,760,14,1405483421023,1405484043284,1412120576524
05C04829ABECDFFEF00703E9B73BD65325274AF7,488,12,1404876445127,1404876487973,1412120576524
05C1B4A89512E1950C91BC21A660379D8014F41E,2000,40,1404875338696,1404946323127,1412120576524
05D1FE374A98CE96C2EBDCA40C5A6AAED2F22CEE,400,1,1405556454218,1405556454218,1412120576524
05D7E7801FCB26620F30E30FAA3CDE8DA66F627C,2000,26,1405564242937,1405565404346,1412120576524
05D9731B8A16B959F8D42566C6F0619D032A524D,5000,12,1405340713821,1405405160932,1412120576524
05DC410254558F7BB451B88F5C657DE8D0D432E7,40000,251,1405681604410,1412040312126,1412120576524
061532896EB6A9F702FDAABA0CDFE13F92878864,760,36,1405861139732,1405944256136,1412120576524
0615E0ACF05D6785E907EC014C384E7EB887A9F5,680,7,1406284728904,1406284733484,1412120576524
06165CD5291E6EDDC0CDC05373C53520DE865428,440,8,1405587780156,1405587825236,1412120576524
061EB0198CCC2DB976D2330EE25A5CD9BBF3F83A,400,2,1404298353281,1404298459488,1412120576524
